user_id,segment_name,kmeans_segment,auto_segment,tenure_days,recency_days,value_proxy,true_cancellation_rate,discount_sensitivity,bundling_ratio,avg_nights_stayed,avg_bags
23557,High-Value Frequent Users,2,3,736.0,14.0,177.0,0.0,0.5,,10.0,
94883,Discount-Oriented Bundlers,0,2,536.0,108.0,522.0450000000001,0.0,0.0,1.0,0.5,0.5
101486,Discount-Oriented Bundlers,0,2,526.0,41.0,388.40999999999997,0.0,0.0,1.0,4.0,0.0
101961,Discount-Oriented Bundlers,0,2,526.0,36.0,384.53200000000004,0.0,0.2,1.0,3.8,0.4
106907,High-Value High-Cancellation Users,4,4,519.0,1.0,14031.06,1.0,0.5,1.0,11.0,5.0
118043,Discount-Oriented Bundlers,0,2,505.0,13.0,1007.0133333333333,0.0,0.6,1.0,5.5,1.0
120851,Discount-Oriented Bundlers,0,3,502.0,112.0,566.6800000000001,0.0,0.0,1.0,11.0,0.0
125845,Discount-Oriented Bundlers,0,2,496.0,53.0,708.1066666666667,0.0,0.3333333333333333,1.0,1.6666666666666667,0.6666666666666666
133058,Discount-Oriented Bundlers,0,2,488.0,123.0,423.51,0.0,0.0,0.0,,0.0
149058,Discount-Oriented Bundlers,0,2,470.0,103.0,554.332,0.0,0.2,1.0,5.0,0.4
152583,Discount-Oriented Bundlers,0,2,467.0,52.0,580.8299999999999,0.0,0.0,1.0,2.0,2.0
153982,Discount-Oriented Bundlers,0,2,465.0,7.0,425.95666666666665,0.0,0.0,1.0,1.3333333333333333,0.3333333333333333
160754,Discount-Oriented Bundlers,0,2,458.0,32.0,307.62,0.0,0.0,1.0,2.0,1.0
164522,Discount-Oriented Bundlers,0,3,454.0,170.0,561.3199999999999,0.0,1.0,1.0,13.0,1.0
171470,Longer-Stay Law-Value Users,1,1,448.0,18.0,3679.3566666666666,1.0,1.0,0.0,,0.3333333333333333
174997,Discount-Oriented Bundlers,0,2,444.0,142.0,1187.4966666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,0.3333333333333333
175032,Discount-Oriented Bundlers,0,2,444.0,7.0,693.625,0.0,0.3333333333333333,1.0,4.333333333333333,0.5
181157,Discount-Oriented Bundlers,0,2,439.0,122.0,508.80999999999995,0.0,0.6666666666666666,1.0,3.333333333333333,1.0
182191,Longer-Stay Law-Value Users,1,1,438.0,204.0,537.67,1.0,1.0,0.0,,1.0
187212,Discount-Oriented Bundlers,0,2,433.0,150.0,631.5233333333333,0.0,0.0,1.0,2.0,0.6666666666666666
189676,Discount-Oriented Bundlers,0,2,431.0,86.0,1424.81,0.0,0.0,1.0,9.0,2.0
190866,Discount-Oriented Bundlers,0,2,430.0,25.0,585.4,0.0,0.0,1.0,1.8,0.4
195192,Discount-Oriented Bundlers,0,2,426.0,104.0,554.29,0.0,0.0,1.0,1.0,0.0
204943,Deal-Sensitive High-Risk Users,3,0,417.0,0.0,667.537142857143,0.1666666666666666,0.2857142857142857,1.0,6.857142857142857,1.2857142857142856
204997,Longer-Stay Law-Value Users,1,1,417.0,18.0,1143.376,0.5,0.6,0.8,4.5,0.6
205044,Discount-Oriented Bundlers,0,2,417.0,84.0,1165.4499999999998,0.0,0.3333333333333333,1.0,4.666666666666666,0.3333333333333333
206011,Discount-Oriented Bundlers,0,2,416.0,86.0,374.9808333333333,0.0,0.5,0.75,2.666666666666667,0.25
216796,Longer-Stay Law-Value Users,1,1,407.0,137.0,2741.87,1.0,1.0,1.0,10.0,2.0
217136,Discount-Oriented Bundlers,0,2,406.0,124.0,776.07,0.0,0.0,1.0,2.0,0.0
220725,Discount-Oriented Bundlers,0,2,403.0,50.0,609.5840000000001,0.25,0.4,0.8,3.75,0.2
224996,Discount-Oriented Bundlers,0,2,400.0,77.0,679.8050000000001,0.0,0.0,0.5,,0.0
226367,Discount-Oriented Bundlers,0,2,398.0,31.0,549.4033333333333,0.0,0.3333333333333333,1.0,1.6666666666666667,0.6666666666666666
228872,Discount-Oriented Bundlers,0,2,396.0,12.0,603.21,0.0,0.0,1.0,6.5,1.0
229009,Longer-Stay Law-Value Users,1,1,396.0,20.0,1276.7225,0.3333333333333333,0.25,0.5,1.5,0.25
229108,Longer-Stay Law-Value Users,1,1,396.0,81.0,438.61,1.0,0.5,0.0,,0.0
229330,Discount-Oriented Bundlers,0,2,396.0,11.0,596.2774999999999,0.0,0.0,1.0,1.5,0.25
232647,Discount-Oriented Bundlers,0,3,393.0,154.0,450.1,0.0,0.0,1.0,11.0,1.0
249521,Discount-Oriented Bundlers,0,2,378.0,24.0,783.52,0.0,0.5,1.0,1.5,1.0
252835,Discount-Oriented Bundlers,0,2,375.0,18.0,468.06,0.0,0.2,0.8,2.75,0.6
258451,Longer-Stay Law-Value Users,1,1,371.0,41.0,178.0,1.0,0.5,,13.0,
264470,Discount-Oriented Bundlers,0,2,366.0,125.0,636.51,0.0,0.5,1.0,4.5,0.5
276512,Discount-Oriented Bundlers,0,2,356.0,185.0,495.69,0.0,0.0,1.0,1.0,1.0
281952,Discount-Oriented Bundlers,0,2,351.0,19.0,473.86,0.0,0.5,1.0,1.0,1.5
283325,Discount-Oriented Bundlers,0,2,350.0,35.0,813.77,0.0,0.5,1.0,3.0,0.0
290123,Deal-Sensitive High-Risk Users,3,0,344.0,14.0,925.1585714285713,0.0,0.0,0.8571428571428571,2.166666666666667,0.8571428571428571
297546,Deal-Sensitive High-Risk Users,3,0,338.0,20.0,521.1800000000001,0.0,0.2,1.0,5.2,0.75
298253,Discount-Oriented Bundlers,0,2,338.0,121.0,712.42,0.0,0.0,0.0,,2.0
299476,Discount-Oriented Bundlers,0,2,337.0,194.0,263.38,0.0,0.0,1.0,1.0,0.0
306819,Longer-Stay Law-Value Users,1,1,330.0,112.0,388.71999999999997,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333
312488,Deal-Sensitive High-Risk Users,3,0,326.0,18.0,706.1,0.0,0.0,1.0,,1.0
313724,Deal-Sensitive High-Risk Users,3,0,325.0,27.0,565.76,0.2,0.1666666666666666,1.0,3.0,0.8
316527,Discount-Oriented Bundlers,0,2,323.0,98.0,757.7225000000001,0.0,0.25,1.0,3.0,0.25
317688,Deal-Sensitive High-Risk Users,3,0,322.0,16.0,477.935,0.0,0.25,1.0,1.25,0.5
322867,Discount-Oriented Bundlers,0,2,317.0,191.0,362.03999999999996,0.0,0.0,1.0,7.0,1.0
324191,Discount-Oriented Bundlers,0,2,316.0,132.0,323.37,0.0,0.0,1.0,4.5,0.5
328590,Longer-Stay Law-Value Users,1,1,313.0,70.0,1069.1525000000001,0.3333333333333333,0.75,0.5,4.5,0.25
330764,Discount-Oriented Bundlers,0,1,311.0,115.0,505.02,0.3333333333333333,0.5,1.0,4.5,1.0
330893,Deal-Sensitive High-Risk Users,3,0,311.0,27.0,425.2033333333333,0.0,0.0,1.0,2.0,0.6666666666666666
331039,Longer-Stay Law-Value Users,1,1,311.0,96.0,2499.87,1.0,1.0,1.0,8.0,3.0
334787,Discount-Oriented Bundlers,0,2,308.0,125.0,421.72333333333336,0.0,0.3333333333333333,1.0,2.0,0.6666666666666666
338086,Discount-Oriented Bundlers,0,2,306.0,81.0,553.845,0.0,0.5,1.0,1.0,0.5
340166,High-Value Frequent Users,2,2,304.0,124.0,237.0,0.0,0.0,,2.0,
343928,Deal-Sensitive High-Risk Users,3,1,301.0,8.0,2891.31,0.0,0.5,0.5,3.0,0.5
347778,Deal-Sensitive High-Risk Users,3,0,298.0,35.0,1073.488,0.0,0.0,0.8,2.25,1.0
348817,Discount-Oriented Bundlers,0,2,297.0,70.0,717.2066666666667,0.0,0.0,1.0,2.25,0.6666666666666666
349132,Discount-Oriented Bundlers,0,2,297.0,128.0,554.1966666666666,0.0,0.3333333333333333,1.0,4.666666666666666,0.5
350648,Longer-Stay Law-Value Users,1,1,296.0,41.0,397.18,1.0,0.5,1.0,3.0,0.0
353271,Discount-Oriented Bundlers,0,2,294.0,134.0,544.4,0.0,0.0,1.0,,0.0
353694,Deal-Sensitive High-Risk Users,3,0,294.0,22.0,354.685,0.0,0.0,1.0,4.5,0.5
354050,Deal-Sensitive High-Risk Users,3,0,294.0,24.0,601.976,0.0,0.4,1.0,2.2,0.2
354260,Discount-Oriented Bundlers,0,2,294.0,167.0,842.505,0.0,0.0,0.5,2.0,1.0
354311,Discount-Oriented Bundlers,0,2,293.0,138.0,633.445,0.0,0.0,0.5,3.0,0.5
354950,Discount-Oriented Bundlers,0,2,293.0,180.0,587.54,0.0,0.0,1.0,6.0,1.0
356046,Discount-Oriented Bundlers,0,2,292.0,147.0,489.405,0.0,0.0,1.0,2.0,0.0
357737,Deal-Sensitive High-Risk Users,3,0,291.0,31.0,606.5466666666666,0.2,0.5,1.0,3.333333333333333,0.4
359072,Discount-Oriented Bundlers,0,2,290.0,90.0,320.6175,0.3333333333333333,0.25,1.0,2.25,0.25
359080,Deal-Sensitive High-Risk Users,3,0,290.0,25.0,1626.89,0.0,0.25,0.5,2.0,1.0
359653,Discount-Oriented Bundlers,0,2,289.0,169.0,607.165,0.0,0.5,1.0,1.5,1.0
361459,Discount-Oriented Bundlers,0,2,288.0,194.0,558.9100000000001,0.0,0.0,1.0,1.0,1.0
361759,Discount-Oriented Bundlers,0,2,288.0,96.0,494.81416666666667,0.0,0.25,0.75,0.6666666666666666,0.5
363535,Longer-Stay Law-Value Users,1,2,287.0,49.0,517.0375,0.3333333333333333,0.5,1.0,2.75,0.75
365825,Longer-Stay Law-Value Users,1,1,285.0,46.0,244.9633333333333,0.5,0.3333333333333333,1.0,6.0,1.0
371201,Discount-Oriented Bundlers,0,2,281.0,99.0,199.47,0.0,0.0,0.0,,3.0
372970,Discount-Oriented Bundlers,0,2,280.0,67.0,850.65,0.0,0.0,1.0,,0.5
373489,High-Value High-Cancellation Users,4,4,280.0,28.0,7502.31,0.0,1.0,1.0,12.0,3.0
374331,Longer-Stay Law-Value Users,1,1,279.0,145.0,516.26,0.5,0.3333333333333333,0.5,12.0,1.0
374340,Longer-Stay Law-Value Users,1,4,279.0,30.0,3966.19,0.0,1.0,0.0,,1.0
374341,High-Value Frequent Users,2,3,279.0,58.0,152.33333333333331,0.0,0.0,,7.333333333333333,
375729,Deal-Sensitive High-Risk Users,3,0,278.0,17.0,615.3866666666667,0.0,0.6666666666666666,1.0,2.0,0.3333333333333333
375751,Discount-Oriented Bundlers,0,2,278.0,101.0,402.35333333333335,0.0,0.0,0.6666666666666666,3.0,0.3333333333333333
376159,Discount-Oriented Bundlers,0,2,278.0,78.0,494.74,0.0,0.0,1.0,3.0,1.0
377069,Longer-Stay Law-Value Users,1,1,277.0,90.0,926.67,1.0,1.0,0.0,,1.0
377411,Discount-Oriented Bundlers,0,2,277.0,134.0,617.8050000000001,0.0,0.5,1.0,2.5,0.0
378565,Deal-Sensitive High-Risk Users,3,0,276.0,28.0,499.41499999999996,0.0,0.4,1.0,8.8,0.5
379543,Discount-Oriented Bundlers,0,2,276.0,50.0,616.7066666666667,0.0,0.0,1.0,2.0,0.3333333333333333
